2.8803 	WARNING 	We strongly recommend you activate the PTB sound engine in PsychoPy prefs as the preferred audio engine. Its timing is vastly superior. Your prefs are currently set to use ['sounddevice', 'PTB', 'pyo', 'pygame'] (in that order).
57.2430 	EXP 	sliderText: height = 0.05
57.2430 	EXP 	sliderText: text = 'To what extent were you trying (making an effort) to focus on the task?'
57.2430 	EXP 	slider: autoDraw = True
57.2430 	EXP 	sliderText: autoDraw = True
57.2430 	EXP 	showPos: autoDraw = True
58.1181 	DATA 	Keypress: 2
58.1393 	EXP 	slider: markerPos = 45.0
58.3920 	DATA 	Keypress: 2
58.4247 	EXP 	slider: markerPos = 40.0
58.6453 	DATA 	Keypress: 2
58.6788 	EXP 	slider: markerPos = 35.0
60.7786 	DATA 	Keypress: 1
60.8066 	EXP 	New trial (rep=0, index=3): OrderedDict([('probenumber', 4), ('probetext', 'To what extent did you feel afraid, scared, or frightened?'), ('leftanchor', 'not at all'), ('rightanchor', 'extremely')])
60.8189 	EXP 	window1: mouseVisible = True
60.8611 	EXP 	Created slider = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=0, fillColor=None, flip=False, font='Open Sans', granularity=5.0, labelColor=None, labelHeight=0.05, labelWrapWidth=None, labels=['not at all', 'extremely'], lineColor=None, markerColor=None, name='slider', opacity=None, ori=0.0, pos=array([ 0.  , -0.25]), readOnly=False, self=UNKNOWN, size=array([1. , 0.1]), startValue=50, style='rating', styleTweaks=[], ticks=ndarray(...), units='height', win=Window(...))
60.8940 	EXP 	slider: markerPos = 35.0
60.8940 	EXP 	slider: autoDraw = False
60.8940 	EXP 	sliderText: autoDraw = False
60.8940 	EXP 	showPos: autoDraw = False
60.8940 	EXP 	slider: markerPos = None
60.8940 	EXP 	slider: markerPos = 50
60.8940 	EXP 	slider: autoLog = True
60.8940 	EXP 	slider: markerPos = 50
60.8940 	EXP 	slider: styleTweaks = []
60.8940 	EXP 	slider: styleTweaks = []
60.8940 	EXP 	slider: styleTweaks = []
60.8940 	EXP 	slider: styleTweaks = []
60.8940 	EXP 	slider: contrast = 1.0
60.8940 	EXP 	slider: autoLog = True
60.8940 	EXP 	sliderText: height = 0.05
60.8940 	EXP 	sliderText: height = 0.05
60.8940 	EXP 	sliderText: height = 0.05
60.8940 	EXP 	sliderText: text = 'To what extent did you feel afraid, scared, or frightened?'
60.8940 	EXP 	slider: autoDraw = True
60.8940 	EXP 	sliderText: autoDraw = True
60.8940 	EXP 	showPos: autoDraw = True
61.5323 	DATA 	Keypress: 3
61.5648 	EXP 	slider: markerPos = 55.0
61.8268 	DATA 	Keypress: 3
61.8511 	EXP 	slider: markerPos = 60.0
62.3410 	DATA 	Keypress: 1
62.3608 	EXP 	New trial (rep=0, index=4): OrderedDict([('probenumber', 5), ('probetext', 'To what extent did you feel sad, blue, or downhearted?'), ('leftanchor', 'not at all'), ('rightanchor', 'extremely')])
62.3725 	EXP 	window1: mouseVisible = True
62.4146 	EXP 	Created slider = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=0, fillColor=None, flip=False, font='Open Sans', granularity=5.0, labelColor=None, labelHeight=0.05, labelWrapWidth=None, labels=['not at all', 'extremely'], lineColor=None, markerColor=None, name='slider', opacity=None, ori=0.0, pos=array([ 0.  , -0.25]), readOnly=False, self=UNKNOWN, size=array([1. , 0.1]), startValue=50, style='rating', styleTweaks=[], ticks=ndarray(...), units='height', win=Window(...))
62.4477 	EXP 	slider: markerPos = 60.0
62.4477 	EXP 	slider: autoDraw = False
62.4477 	EXP 	sliderText: autoDraw = False
62.4477 	EXP 	showPos: autoDraw = False
62.4477 	EXP 	slider: markerPos = None
62.4477 	EXP 	slider: markerPos = 50
62.4477 	EXP 	slider: autoLog = True
62.4477 	EXP 	slider: markerPos = 50
62.4477 	EXP 	slider: styleTweaks = []
62.4477 	EXP 	slider: styleTweaks = []
62.4477 	EXP 	slider: styleTweaks = []
62.4477 	EXP 	slider: styleTweaks = []
62.4477 	EXP 	slider: contrast = 1.0
62.4477 	EXP 	slider: autoLog = True
62.4477 	EXP 	sliderText: height = 0.05
62.4477 	EXP 	sliderText: height = 0.05
62.4477 	EXP 	sliderText: height = 0.05
62.4477 	EXP 	sliderText: text = 'To what extent did you feel sad, blue, or downhearted?'
62.4477 	EXP 	slider: autoDraw = True
62.4477 	EXP 	sliderText: autoDraw = True
62.4477 	EXP 	showPos: autoDraw = True
63.0500 	DATA 	Keypress: 2
63.0884 	EXP 	slider: markerPos = 45.0
63.2436 	DATA 	Keypress: 2
63.2774 	EXP 	slider: markerPos = 40.0
63.4477 	DATA 	Keypress: 2
63.4874 	EXP 	slider: markerPos = 35.0
63.6821 	DATA 	Keypress: 1
63.7050 	EXP 	New trial (rep=0, index=5): OrderedDict([('probenumber', 6), ('probetext', 'To what extent did you feel:'), ('leftanchor', 'sleepy'), ('rightanchor', 'lively')])
63.7177 	EXP 	window1: mouseVisible = True
63.7708 	EXP 	Created slider = Slider(__class__=<class 'psychopy.visual.slider.Slider'>, autoDraw=False, autoLog=True, borderColor=None, color=None, colorSpace='rgb', depth=0, fillColor=None, flip=False, font='Open Sans', granularity=5.0, labelColor=None, labelHeight=0.05, labelWrapWidth=None, labels=['sleepy', 'lively'], lineColor=None, markerColor=None, name='slider', opacity=None, ori=0.0, pos=array([ 0.  , -0.25]), readOnly=False, self=UNKNOWN, size=array([1. , 0.1]), startValue=50, style='rating', styleTweaks=[], ticks=ndarray(...), units='height', win=Window(...))
63.8047 	EXP 	slider: markerPos = 35.0
63.8047 	EXP 	slider: autoDraw = False
63.8047 	EXP 	sliderText: autoDraw = False
63.8047 	EXP 	showPos: autoDraw = False
63.8047 	EXP 	slider: markerPos = None
63.8047 	EXP 	slider: markerPos = 50
63.8047 	EXP 	slider: autoLog = True
63.8047 	EXP 	slider: markerPos = 50
63.8047 	EXP 	slider: styleTweaks = []
63.8047 	EXP 	slider: styleTweaks = []
63.8047 	EXP 	slider: styleTweaks = []
63.8047 	EXP 	slider: styleTweaks = []
63.8047 	EXP 	slider: contrast = 1.0
63.8047 	EXP 	slider: autoLog = True
63.8047 	EXP 	sliderText: height = 0.05
63.8047 	EXP 	sliderText: height = 0.05
63.8047 	EXP 	sliderText: height = 0.05
63.8047 	EXP 	sliderText: text = 'To what extent did you feel:'
63.8047 	EXP 	slider: autoDraw = True
63.8047 	EXP 	sliderText: autoDraw = True
63.8047 	EXP 	showPos: autoDraw = True
64.7835 	DATA 	Keypress: 3
64.8259 	EXP 	slider: markerPos = 55.0
64.9973 	DATA 	Keypress: 3
65.0186 	EXP 	slider: markerPos = 60.0
65.1735 	DATA 	Keypress: 3
65.2090 	EXP 	slider: markerPos = 65.0
66.1964 	DATA 	Keypress: 2
66.2225 	EXP 	slider: markerPos = 60.0
66.9013 	DATA 	Keypress: 3
66.9216 	EXP 	slider: markerPos = 65.0
67.1698 	DATA 	Keypress: 1
67.2067 	EXP 	slider: markerPos = 65.0
67.2067 	EXP 	slider: autoDraw = False
67.2067 	EXP 	sliderText: autoDraw = False
67.2067 	EXP 	showPos: autoDraw = False
67.2067 	EXP 	Fixation_earlyfinish: autoDraw = True
69.0172 	DATA 	Keypress: escape
69.8416 	EXP 	window1: mouseVisible = True
